Match Number,Round Number,Eco before purchase,Drop Given to Teammate,Eco after purchase,sidearms,main weapon,Shield type,Friendly drop weapon,Contingency Ability,Undercut Ability,kills,round win/loss,match status,Side
2,6,3900,None,2500,Classic,Vandal,Heavy,None,1,2,1,Loss,Victory,Attackers
2,7,4900,None,800,Classic,Vandal,Heavy,None,1,2,3,Loss,Victory,Attackers
2,8,4100,None,400,Classic,Vandal,Light,None,1,2,1,Loss,Victory,Attackers
2,9,3800,None,100,Classic,Vandal,Light,None,1,2,2,Win,Victory,Attackers
2,10,3800,None,2400,Classic,Vandal,Heavy,None,1,2,2,Win,Victory,Attackers
2,11,6100,None,1600,Classic,Vandal,Heavy,None,1,2,3,Win,Victory,Attackers
2,12,5500,None,1600,Classic,Vandal,Heavy,None,1,2,3,Win,Victory,Attackers
2,13,800,None,0,Classic,None,Light,None,1,1,3,Win,Victory,Defenders
2,14,3600,None,3400,Classic,None,None,None,0,1,0,Win,Victory,Defenders
2,15,6400,None,2100,Classic,Vandal,Heavy,None,1,2,1,Loss,Victory,Defenders
2,16,4200,None,300,Classic,Vandal,Heavy,None,1,2,2,Loss,Victory,Defenders
2,17,3100,None,1350,Classic,Marshal,Light,None,1,2,0,Loss,Victory,Defenders
2,18,4250,None,350,Classic,Vandal,Heavy,None,1,2,4,Win,Victory,Defenders
2,19,4150,Vandal,450,Classic,Vandal,Light,None,1,2,3,Win,Victory,Defenders
2,20,4050,None,3050,Classic,Vandal,Heavy,None,1,2,3,Win,Victory,Defenders
3,1,800,None,0,Classic,None,Light,None,1,1,3,Win,Defeat,Attackers
3,2,3900,None,3300,Sheriff,None,Light,Sheriff,1,2,1,Loss,Defeat,Attackers
3,3,5800,None,1700,Classic,Vandal,Heavy,None,1,2,3,Win,Defeat,Attackers
3,4,6000,None,2100,Classic,Vandal,Heavy,None,1,2,0,Win,Defeat,Attackers
3,5,5400,None,1500,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
3,6,3400,None,100,Classic,Vandal,Light,None,1,2,0,Loss,Defeat,Attackers
3,7,2500,None,2500,Classic,None,None,None,1,2,1,Win,Defeat,Attackers
3,8,5700,None,1200,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
3,9,3400,None,2450,Classic,Marshal,None,None,1,1,0,Loss,Defeat,Attackers
3,10,4850,None,750,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
3,11,3650,None,150,Classic,Vandal,Light,None,1,1,4,Win,Defeat,Attackers
3,12,4250,None,350,Classic,Vandal,Light,None,1,2,0,Loss,Defeat,Attackers
3,13,800,None,100,Ghost,None,Light,None,0,1,3,Win,Defeat,Defenders
3,14,3700,None,0,Ghost,Vandal,Light,None,1,2,1,Win,Defeat,Defenders
3,15,3200,None,550,Classic,Guardian ,Light,None,1,2,0,Win,Defeat,Defenders
3,16,3550,None,2550,Classic,Vandal,Heavy,Vandal,1,2,2,Loss,Defeat,Defenders
3,17,4850,None,3300,Classic,Marshal,Light,None,1,2,2,Win,Defeat,Defenders
3,18,6700,None,2200,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Defenders
3,19,4100,None,200,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Defenders
3,20,2600,None,2600,Classic,None,None,None,1,2,0,Loss,Defeat,Defenders
3,21,5500,None,1600,Classic,Vandal,Heavy,None,1,2,2,Loss,Defeat,Defenders
3,22,4900,None,400,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Defenders
